PROMOTIONID,DOMAINNAMEID,EXPIREDATE
606753,3463,2022-03-13 23:59:59.000 Z
606791,1872,2022-03-12 23:59:59.000 Z
607013,1909,
606249,31520,2022-03-06 23:59:59.000 Z
606816,1872,
606924,3062,2022-03-15 23:59:59.000 Z
607015,1909,
606752,2363,2022-03-13 23:59:59.000 Z
606871,3995,2022-03-17 23:59:59.000 Z
605187,418341,2022-03-08 23:59:00.000 Z
605466,418341,2022-03-15 23:59:59.000 Z
606943,135885,2022-03-20 23:59:59.000 Z
606877,4058,
606527,184786,2022-03-13 23:59:59.000 Z
606566,354199,2022-03-09 23:59:59.000 Z
606656,370480,2022-03-30 23:59:59.000 Z
606703,5801,
605469,2365,
607003,2527,2022-03-12 23:59:59.000 Z
606842,1872,2022-03-12 23:59:59.000 Z
606998,384530,2022-04-18 23:59:59.000 Z
606946,10865,2022-03-08 23:59:59.000 Z
606928,6997,2022-03-09 23:59:59.000 Z
606064,7136,
606719,2931,2022-03-31 23:59:59.000 Z
606800,2001,2022-03-14 23:59:59.000 Z
606803,28436,2022-03-10 23:59:59.000 Z
606619,2494,2022-04-17 23:59:59.000 Z
606889,86595,2022-12-31 23:59:59.000 Z
606875,2497,2022-03-20 23:59:59.000 Z
607025,27365,2022-03-19 23:59:59.000 Z
606932,140209,2022-04-03 23:59:59.000 Z
606945,2476,2022-04-02 23:59:59.000 Z
606795,1872,2022-03-12 23:59:59.000 Z
606809,71184,2022-03-08 23:59:59.000 Z
607009,113920,2022-03-09 23:59:59.000 Z
606890,375527,2022-12-31 23:59:59.000 Z
606328,99487,2022-03-31 23:59:59.000 Z
606775,8254,2022-03-12 23:59:59.000 Z
605404,11497,2022-12-31 23:59:59.000 Z
606466,3426,2022-03-31 23:59:59.000 Z
606516,298089,2022-03-15 23:59:59.000 Z
606954,62800,
606806,376245,2022-03-10 23:59:59.000 Z
606780,3566,2022-03-08 23:59:59.000 Z
606885,384530,2022-04-18 23:59:59.000 Z
606859,435788,2022-03-12 23:59:59.000 Z
606915,34143,2022-03-15 23:59:59.000 Z
606712,2297,2022-04-04 23:59:59.000 Z
606344,111214,2022-04-18 23:59:59.000 Z
606782,201596,2022-03-08 23:59:59.000 Z
607016,1909,2022-03-13 23:59:59.000 Z
607023,109281,2022-04-01 23:59:59.000 Z
606901,79895,
606777,162000,2022-03-12 23:59:59.000 Z
606961,2574,2022-03-12 23:59:59.000 Z
606937,25531,2022-03-31 23:59:59.000 Z
606960,466166,
606878,324581,2022-03-09 23:59:59.000 Z
606888,184674,2022-04-30 23:59:59.000 Z
607005,13870,2022-03-08 23:59:59.000 Z
606895,9176,2022-03-08 23:59:59.000 Z
606868,25531,2022-03-31 23:59:59.000 Z
607012,291912,2022-06-29 23:59:59.000 Z
606869,2523,2022-03-20 23:59:59.000 Z
606923,24752,2022-04-01 23:59:59.000 Z
606356,2834,2022-04-18 23:59:59.000 Z
606607,439837,2022-12-31 23:59:59.000 Z
607020,3513,2022-03-15 23:59:59.000 Z
606110,471009,2022-03-07 23:59:59.000 Z
606505,2510,2022-03-07 23:59:59.000 Z
606788,30437,2022-03-31 23:59:59.000 Z
607010,277076,2022-03-11 23:59:59.000 Z
606990,2455,2022-03-09 23:59:59.000 Z
606822,42690,2022-03-09 23:59:59.000 Z
606776,2014,2022-03-13 23:59:59.000 Z
606941,140266,2022-03-13 23:59:59.000 Z
605772,424912,2022-12-31 23:59:59.000 Z
606958,472508,2022-03-11 23:59:59.000 Z
606881,2453,2022-03-13 23:59:59.000 Z
606892,440223,2022-03-22 23:59:59.000 Z
606897,135885,2022-03-20 23:59:59.000 Z
606927,376676,2022-03-10 23:59:59.000 Z
606879,394717,2022-03-27 23:59:59.000 Z
606994,376595,
606916,445573,2022-03-11 23:59:59.000 Z
606769,2437,2022-03-07 23:59:59.000 Z
606829,140943,2022-04-03 23:59:59.000 Z
606771,33398,2022-03-12 23:59:59.000 Z
605460,9423,2022-12-31 23:59:59.000 Z
606952,6997,2022-03-09 23:59:59.000 Z
606764,54241,2022-04-03 23:59:59.000 Z
606992,191613,2022-03-09 23:59:59.000 Z
604996,2554,2022-12-31 23:59:59.000 Z
606959,3568,2022-03-09 23:59:59.000 Z
606921,193537,2022-12-26 23:59:59.000 Z
606770,3755,2022-03-07 23:59:59.000 Z
606278,11480,2022-12-31 23:59:59.000 Z
605563,171954,2022-04-30 23:59:59.000 Z
606872,51960,2022-03-09 23:59:59.000 Z
606926,185295,2022-03-12 23:59:59.000 Z
606783,56383,
606918,32581,2022-03-08 23:59:59.000 Z
606756,3063,2022-03-12 23:59:59.000 Z
606920,70992,2022-03-13 23:59:59.000 Z
606870,454689,2022-03-07 23:59:59.000 Z
606810,42300,2022-03-15 23:59:59.000 Z
